id ,Title                                                                                                                                           ,Author ,URL ,Bibliography ,Brief summary ,Use?
1  ,"A Behavior Model for Persuasive Design"                                                                                                        ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
2  ,"A Methodology and a Web Platform for the Collaborative Development of Context-Aware Systems"                                                   ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
3  ,"A Neural Algorithm of Artistic Style"                                                                                                          ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
4  ,"Agile Development Iterations and UI Design"                                                                                                    ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
5  ,"Deep Residual Learning for Image Recognition"                                                                                                  ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
6  ,"Gradient-Based Learning Applied to Document Recognition"                                                                                       ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
7  ,"Deep Visual-Semantic Alignments for Generating Image Descriptions"                                                                             ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
8  ,"From Captions to Visual Concepts and Back"                                                                                                     ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
9  ,"How to reduce the UX bottleneck – train your software developers"                                                                              ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
10 ,"Identity Mappings in Deep Residual Networks"                                                                                                   ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
11 ,"Interactivity and  Cartography: A Contemporary Perspective on  User  Interface  and  User  Experience Design  from  Geospatial  Professionals" ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
12 ,"Knowledge and the Prediction of Behavior: The Role of Information Accuracy in the Theory of Planned Behavior"                                  ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
13 ,"OverFeat:Integrated Recognition, Localization and Detection using Convolutional Network"                                                       ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
14 ,"Recurrent Models of Visual Attention"                                                                                                          ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
15 ,"Test-Driven Development forGenerated Portable Javascript Apps"                                                                                 ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
16 ,"Trading off usability and security in user interface design through mental models"                                                             ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
17 ,"Understanding Convolutional Neural Networks"                                                                                                   ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
18 ,"Visualizing and Understanding Convolutional Networks"                                                                                          ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
19 ,"VISUALIZING AND UNDERSTANDING RECURRENT NETWORKS"                                                                                              ,""     ,"https://github.com/romansorin/research/sources/discipline_specific"  ,""           ,""            ,""
