id,Title,Author,URL,Bibliography,In text,Brief summary,Use?

Find at least 5 Sources that expose the history of your topic. 
Place these in the “Historical Sources” table on your document. 
Places to look:
Google Scholar, EBSCO, PubMed, Research Gate, ERIC, JSTOR, etc.

Rationale: These sources will help you chronologically understand how your topic has progressed over time. The hope is that you will see if your thoughts are outdated or are current. This may also help you create a specific angle for your topic that has yet to be identified. 

1,"Beyond Information Architecture:A Systems Integration Approach to Web-site Design","","","","","",""
2,"DEEP REINFORCEMENT LEARNING: AN OVERVIEW","","","","","",""
3,"Fundamentals of physiological computing","","","","","",""
4,"Improving user-interface dependability through mitigation of human error","","","","","",""
5,"On tangible user interfaces, humans and spatiality","","","","","",""
6,"On the Origin of Deep Learning","","","","","",""
7,"Representation Learning: A Review and New Perspectives","","","","","",""
