id,Title,Author,URL,Bibliography,Brief summary,Use?
1,"A navigation pattern analysis of university department’s websites using a processing mining approach","K. Han, B. Hwang and J. Jeon","https://github.com/romansorin/research/sources/methods","[3]K. Han, B. Hwang and J. Jeon, 'A navigation pattern analysis of university department’s websites using a processing mining approach', Innovations in Education and Teaching International, vol. 52, no. 5, pp. 485-498, 2013. Available: 10.1080/14703297.2013.832634.","Case study resulting from increased complexity and growth of university site. While the university site is valuable in providing information for current and prospective students, this growth requires maintaining and upkeep; otherwise, accessability and efficacy declines rapidly. A three step process is used to analyze, interpret, and suggest functional improvements that can be implemented in the future.",""
2,"A psychometric user experience model based on fuzzy measure approaches","J. Chou","https://github.com/romansorin/research/sources/methods","[4]J. Chou, 'A psychometric user experience model based on fuzzy measure approaches', Advanced Engineering Informatics, vol. 38, pp. 794-810, 2018. Available: 10.1016/j.aei.2018.10.010 [Accessed 14 October 2019].","The value of UX in today's markets and products prompts the need for qualitative, quantitative, and objective measures of applicability and effectiveness. Fuzzy measures were implemented to develop a metric through user experience index (UXI).",""
3,"Applying design patterns in the search-based optimization of software product line architectures","G. Guizzo, T. Colanzi and S. Vergilio","https://github.com/romansorin/research/sources/methods","[5]G. Guizzo, T. Colanzi and S. Vergilio, 'Applying design patterns in the search-based optimization of software product line architectures', Software & Systems Modeling, vol. 18, no. 2, pp. 1487-1512, 2017. Available: 10.1007/s10270-017-0614-9.","",""
4,"Learning Hierarchical Features for Scene Labeling","C. Farabet, C. Couprie, L. Najman and Y. LeCun","https://github.com/romansorin/research/sources/methods","[6]C. Farabet, C. Couprie, L. Najman and Y. LeCun, 'Learning Hierarchical Features for Scene Labeling', IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 35, no. 8, pp. 1915-1929, 2013. Available: 10.1109/tpami.2012.231.","",""
5,"Supporting user-perceived usability benchmarking through a developed quantitative metric","R. Veral and J. Macías","https://github.com/romansorin/research/sources/methods","[7]R. Veral and J. Macías, 'Supporting user-perceived usability benchmarking through a developed quantitative metric', International Journal of Human-Computer Studies, vol. 122, pp. 184-195, 2019. Available: 10.1016/j.ijhcs.2018.09.012.","",""
6,"Peer Assessment of Webpage Design: Behavioral Sequential Analysis Based on Eye Tracking Evidence","Hsu, T.-C., Chang, S.-C., & Liu, N.-C","https://github.com/romansorin/research/sources/methods","Hsu, T.-C., Chang, S.-C., & Liu, N.-C. (2018). Peer Assessment of Webpage Design: Behavioral Sequential Analysis Based on Eye Tracking Evidence. Educational Technology & Society, 21 (2), 305–321. ","",""
7,"PixelNet: Representation of the pixels, by the pixels, and for the pixels.","Bansal, Aayush & Chen, Xinlei & Russell, Bryan & Ramanan, Abhinav","https://github.com/romansorin/research/sources/methods","Bansal, Aayush & Chen, Xinlei & Russell, Bryan & Ramanan, Abhinav. (2017). PixelNet: Representation of the pixels, by the pixels, and for the pixels. ","",""
8,"Show and Tell: A Neural Image Caption Generator","Vinyals, O., Toshev, A., Bengio, S., & Erhan, D","https://github.com/romansorin/research/sources/methods","Vinyals, O., Toshev, A., Bengio, S., & Erhan, D. (2015). Show and tell: A neural image caption generator. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR). doi:10.1109/cvpr.2015.7298935","",""
9,"Show, Attend and Tell: Neural Image CaptionGeneration with Visual Attention","Xu, K., Ba, J. L., Kiros, R., Cho, K., Courville, A., Salakhutdinov, R., ... Bengio, Y","https://github.com/romansorin/research/sources/methods","Xu, K., Ba, J. L., Kiros, R., Cho, K., Courville, A., Salakhutdinov, R., ... Bengio, Y. (2015). Show, attend and tell: Neural image caption generation with visual attention. In 32nd International Conference on Machine Learning, ICML 2015 (Vol. 3, pp. 2048-2057). International Machine Learning Society (IMLS).","",""
10,"The Usability Metric for User Experience","K. Finstad","https://github.com/romansorin/research/sources/methods","[9]K. Finstad, 'The Usability Metric for User Experience', Interacting with Computers, vol. 22, no. 5, pp. 323-327, 2010. Available: 10.1016/j.intcom.2010.04.004 [Accessed 14 October 2019].","",""
11,"UX Curve: A method for evaluating long-term user experience","S. Kujala, V. Roto, K. Väänänen-Vainio-Mattila, E. Karapanos and A. Sinnelä","https://github.com/romansorin/research/sources/methods","[8]S. Kujala, V. Roto, K. Väänänen-Vainio-Mattila, E. Karapanos and A. Sinnelä, 'UX Curve: A method for evaluating long-term user experience', Interacting with Computers, vol. 23, no. 5, pp. 473-483, 2011. Available: 10.1016/j.intcom.2011.06.005.","",""
